"CODE_ID","DESC_FRE","DESC_ENG"
18390,"Sébaste fonçé","Rockfish, Dark"
18393,"Sébaste Blackgill","Rockfish, Blackgill"
18396,"Sébaste amarante","Rockfish, Bank"
18397,"Rockfish, Halfbanded","Rockfish, Halfbanded"
18398,"Sébastes","Redfishes"
18399,"Sébastes (SEBASTINAE)","Rockfishes (SEBASTINAE)"
18401,"Sébastolobe à courtes épines","Thornyhead, Shortspine"
18402,"Poisson rose","Thornyhead, Longspine"
18425,"Sériole à queue jaune","Yellowtail"
18465,"Couteau du Pacifique","Clams, Pacific Razor"
18517,"Laimargue du Pacifique","Shark, Pacific Sleeper"
18554,"Aiguillats","Dogfishes unspecified"
18571,"Dauphin rayé","Dolphin, Striped"
18572,"Dauphin tacheté de l'Atlantique","Atlantic Spotted Dolphin"
18573,"Dauphin à long bec","Dolphin, Spinner"
18581,"Inconnu","Inconnu"
18630,"Fausse-mactre","Clam, Horse"
18738,"Laitue de mer (Ulva lactuca)","Sea Lettuce (Ulva lactuca)"
18756,"Merluches","Codlings"
18789,"Palourde japonaise/asari","Littleneck, Japanese"
19014,"Calmars (Teuthida)","Squids"
19055,"Thon rouge de l'Atlantique","Tuna, Atlantic Bluefin"
19056,"Thons, non spécifiés","Tunas, Unspecified"
19061,"Ombre arctique","Grayling, Arctic"
19107,"Torpille noire","Torpedo, Atlantic"
19119,"Carangue symétrique","Mackerel, Jack"
24982,"Ver des sables","Sand worms"
25273,"Codium fragile","Oyster thief"
25275,"Membranipore","Coffin Box"
29134,"Clovisse arctique","Arctic wedgeclam"
36543,"Aiguillat commun du Pacifique Nord","North Pacific Spiny Dogfish"
37900,"Furcellaria fastigiata","Furcellaria fastigiata"
38404,"Milandre","Tope"
38424,"Morse, Atlantique","Walrus, Atlantic"
38470,"Morse, Pacifique","Walrus, Pacific"
39574,"Morues","Cods"
39592,"Otarie(s) non identifiée(s)","Unidentified Sea lion(s)"
39593,"Phoque(s) non identifié(s)","Unidentified Seal(s)"
39594,"Petit(s) cétacé(s) non identifié(s)","Unidentified small cetacean(s)"
39595,"Baleine(s) à fanons non identifiée(s)","Unidentified Baleen Whale(s)"
39596,"Baleine(s) à dents non identifiée(s)","Unidentified Toothed Whale(s)"
39618,"Phoque tacheté","Seal, Spotted"
39619,"Phoque à rubans (ou rubané)","Seal, Ribbon"
43838,"Prêle","Horsetail"
44356,"Porphyries (Porphyra miniata)","Laver (Porphyra miniata)"
44357,"Lacet de mer (Chorda filum)","Sea Lace / Dead Men's Ropes (Chorda filum)"
44358,"Agar criblé (Agarum cribrosum)","Sea Colander (Agarum cribrosum)"
44493,"Algues (Boreophyllum birdiae)","Algae (Boreophyllum birdiae)"
44494,"Algues rouges (Ceramium virgatum)","Lobster Claw (Ceramium virgatum)"
44495,"Algues brunes (Chordaria flagelliformis)","Black Whip Weed (Chordaria flagelliformis)"
44496,"Algues rouges (Devaleraea ramentacea)","Red Algae (Devaleraea ramentacea)"
44497,"Algues vertes (Enteromorpha sp.)","Green Algae (Enteromorpha sp.)"
44498,"Fucus bifide (Fucus distichus ssp.)","Two-headed Wrack (Fucus distichus ssp.)"
44499,"Fucus évanescent (Fucus evanescens)","Arctic Wrack (Fucus evanescens)"
44500,"Fucus spiralé (Fucus spiralis)","Spiralled Wrack (Fucus spiralis)"
44501,"Algues (Hedophyllum nigripes)","Algae (Hedophyllum nigripes)"
44502,"Laminaire digitée (Laminaria digitata)","Oarweed (Laminaria digitata)"
44503,"Algue feuille de chêne (Phycodrys rubens)","Oak Leaf (Phycodrys rubens)"
44504,"Nori (Porphyra umbilicalis)","Purple Laver (Porphyra umbilicalis)"
44505,"Laminaire sucrée (Saccharina latissima)","Sugar Kelp (Saccharina latissima)"
44506,"Laminaire à long stipe (Saccharina longicruris)","Hollow-Stemmed kelp (Saccharina longicruris)"
44507,"Laminaire (Saccorhiza dermatodea)","Kelp / Brown Algae (Saccorhiza dermatodea)"
44508,"Spartine alterniflore (Spartina alterniflora)","Smooth Cordgrass (Spartina alterniflora)"
44509,"Algues vertes (Ulvaria sp.)","Green Algae (Ulvaria sp.)"
44510,"Zostère marine (Zostera marina)","Eelgrass (Zostera marina)"
